NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,longitude,latitude
Afghanistan,Afghanistan,AFG,l',République islamique d'Afghanistan,Kaboul,67.709953,33.93911
Afrique du Sud,Afrique du Sud,ZAF,l',République d'Afrique du Sud,Prétoria,22.937506,-30.559482
Albanie,Albanie,ALB,l',République d'Albanie,Tirana,20.168331,41.153332
Algérie,Algérie,DZA,l',République algérienne démocratique et populaire,Alger,1.659626,28.033886
Allemagne,Allemagne,DEU,l',République fédérale d'Allemagne,Berlin,10.451526,51.165691
Andorre,Andorre,AND,l',Principauté d'Andorre,Andorre-la-Vieille,1.601554,42.546245
Angola,Angola,AGO,l',République d'Angola,Luanda,17.873887,-11.202692
Antigua-et-Barbuda,Antigua-et-Barbuda,ATG,,Antigua-et-Barbuda,Saint John's,-61.796428,17.060816
Arabie saoudite,Arabie saoudite,SAU,l',Royaume d'Arabie saoudite,Riyad,45.079162,23.885942
Argentine,Argentine,ARG,l',République argentine,Buenos Aires,-63.616672,-38.416097
Arménie,Arménie,ARM,l',République d'Arménie,Erevan,45.038189,40.069099
Australie,Australie,AUS,l',Commonwealth d'Australie,Canberra,133.775136,-25.274398
Autriche,Autriche,AUT,l',République d'Autriche,Vienne,14.550072,47.516231
Azerbaïdjan,Azerbaïdjan,AZE,l',République d'Azerbaïdjan,Bakou,47.576927,40.143105
Bahamas,Bahamas,BHS,les,Commonwealth des Bahamas,Nassau,-77.39628,25.03428
Bahreïn,Bahreïn,BHR,,Royaume de Bahreïn,Manama,50.637772,25.930414
Bangladesh,Bangladesh,BGD,l',République populaire du Bangladesh,Dacca,90.356331,23.684994
Barbade,Barbade,BRB,la,Barbade,Bridgetown,-59.543198,13.193887
Belgique,Belgique,BEL,la,Royaume de Belgique,Bruxelles,4.469936,50.503887
Bélize,Bélize,BLZ,le,Bélize,Belmopan,-88.49765,17.189877
Bénin,Bénin,BEN,le,République du Bénin,Porto-Novo,2.315834,9.30769
Bhoutan,Bhoutan,BTN,le,Royaume du Bhoutan,Thimphou,90.433601,27.514162
Biélorussie,Biélorussie,BLR,la,République de Biélorussie,Minsk,27.953389,53.709807
Birmanie,Birmanie,MMR,la,République de l'Union de Birmanie,Naypyidaw,95.956223,21.913965
Bolivie,Bolivie,BOL,la,État plurinational de Bolivie,Sucre / La Paz,-63.588653,-16.290154
Bosnie-Herzégovine,Bosnie-Herzégovine,BIH,la,Bosnie-Herzégovine,Sarajevo,17.679076,43.915886
Botswana,Botswana,BWA,le,République du Botswana,Gaborone,24.684866,-22.328474
Brésil,Brésil,BRA,le,République fédérative du Brésil,Brasilia,-51.92528,-14.235004
Brunei,Brunei,BRN,le,Brunei Darussalam,Bandar Seri Begawan,114.727669,4.535277
Bulgarie,Bulgarie,BGR,la,République de Bulgarie,Sofia,25.48583,42.733883
Burkina,Burkina,BFA,le,Burkina Faso,Ouagadougou,-1.561593,12.238333
Burundi,Burundi,BDI,le,République du Burundi,Gitega,29.918886,-3.373056
Cambodge,Cambodge,KHM,le,Royaume du Cambodge,Phnom Penh,104.990963,12.565679
Cameroun,Cameroun,CMR,le,République du Cameroun,Yaoundé,12.354722,7.369722
Canada,Canada,CAN,le,Canada,Ottawa,-106.346771,56.130366
Cap-Vert,Cap-Vert,CPV,le,République du Cap-Vert,Praia,-24.013197,16.002082
Centrafrique,Centrafrique,CAF,la,République centrafricaine,Bangui,20.939444,6.611111
Chili,Chili,CHL,le,République du Chili,Santiago,-71.542969,-35.675147
Chine,Chine,CHN,la,République populaire de Chine,Pékin,104.195397,35.86166
Chypre,Chypre,CYP,,République de Chypre,Nicosie,33.429859,35.126413
Colombie,Colombie,COL,la,République de Colombie,Bogota,-74.297333,4.570868
Comores,Comores,COM,les,Union des Comores,Moroni,43.872219,-11.875001
Congo,Congo,COG,le,République du Congo,Brazzaville,15.827659,-0.228021
République démocratique du Congo,Congo (République démocratique du),COD,la,République démocratique du Congo,Kinshasa,21.758664,-4.038333
Îles Cook,Cook (Îles),COK,les,Îles Cook,Avarua,-159.777671,-21.236736
Corée du Nord,Corée du Nord,PRK,la,République populaire démocratique de Corée,Pyongyang,127.510093,40.339852
Corée du Sud,Corée du Sud,KOR,la,République de Corée,Séoul,127.766922,35.907757
Costa Rica,Costa Rica,CRI,le,République du Costa Rica,San José,-83.753428,9.748917
Côte d'Ivoire,Côte d'Ivoire,CIV,la,République de Côte d'Ivoire,Yamoussoukro,-5.54708,7.539989
Croatie,Croatie,HRV,la,République de Croatie,Zagreb,15.2,45.1
Cuba,Cuba,CUB,,République de Cuba,La Havane,-77.781167,21.521757
Danemark,Danemark,DNK,le,Royaume du Danemark,Copenhague,9.501785,56.26392
Djibouti,Djibouti,DJI,le,République de Djibouti,Djibouti,42.590275,11.825138
République dominicaine,Dominicaine (République),DOM,la,République dominicaine,Saint-Domingue,-70.162651,18.735693
Dominique,Dominique,DMA,la,Commonwealth de la Dominique,Roseau,-61.370976,15.414999
Égypte,Égypte,EGY,l',République arabe d'Égypte,Le Caire,30.802498,26.820553
Émirats arabes unis,Émirats arabes unis,ARE,les,Émirats arabes unis,Abou Dabi,53.847818,23.424076
Équateur,Équateur,ECU,l',République d'Équateur,Quito,-78.183406,-1.831239
Érythrée,Érythrée,ERI,l',État d'Érythrée,Asmara,39.782334,15.179384
Espagne,Espagne,ESP,l',Royaume d'Espagne,Madrid,-3.74922,40.463667
Estonie,Estonie,EST,l',République d'Estonie,Tallinn,25.013607,58.595272
Eswatini,Eswatini,SWZ,le,Royaume d'Eswatini,Mbabané,31.465866,-26.522503
États-Unis,États-Unis,USA,les,États-Unis d'Amérique,Washington,-95.712891,37.09024
Éthiopie,Éthiopie,ETH,l',République démocratique fédérale d'Éthiopie,Addis Abeba,40.489673,9.145
Fidji,Fidji,FJI,les,République des Fidji,Suva,179.414413,-16.578193
Finlande,Finlande,FIN,la,République de Finlande,Helsinki,25.748151,61.92411
France,France,FRA,la,République française,Paris,2.213749,46.227638
Gabon,Gabon,GAB,le,République gabonaise,Libreville,11.609444,-0.803689
Gambie,Gambie,GMB,la,République de Gambie,Banjul,-15.310139,13.443182
Géorgie,Géorgie,GEO,la,Géorgie,Tbilissi,43.356892,42.315407
Ghana,Ghana,GHA,le,République du Ghana,Accra,-1.023194,7.946527
Grèce,Grèce,GRC,la,République hellénique,Athènes,21.824312,39.074208
Grenade,Grenade,GRD,la,Grenade,Saint-Georges,-61.604171,12.262776
Guatémala,Guatémala,GTM,le,République du Guatémala,Guatémala,-90.230759,15.783471
Guinée,Guinée,GIN,la,République de Guinée,Conakry,-9.696645,9.945587
Guinée équatoriale,Guinée équatoriale,GNQ,la,République de Guinée équatoriale,Malabo,10.267895,1.650801
Guinée-Bissao,Guinée-Bissao,GNB,la,République de Guinée-Bissao,Bissao,-15.180413,11.803749
Guyana,Guyana,GUY,le,République coopérative du Guyana,Georgetown,-58.93018,4.860416
Haïti,Haïti,HTI,,République d'Haïti,Port-au-Prince,-72.285215,18.971187
Honduras,Honduras,HND,le,République du Honduras,Tégucigalpa,-86.241905,15.199999
Hongrie,Hongrie,HUN,la,Hongrie,Budapest,19.503304,47.162494
Inde,Inde,IND,l',République de l'Inde,New Delhi,78.96288,20.593684
Indonésie,Indonésie,IDN,l',République d'Indonésie,Jakarta,113.921327,-0.789275
Irak,Irak,IRQ,l',République d'Irak,Bagdad,43.679291,33.223191
Iran,Iran,IRN,l',République islamique d'Iran,Téhéran,53.688046,32.427908
Irlande,Irlande,IRL,l',Irlande,Dublin,-8.24389,53.41291
Islande,Islande,ISL,l',République d'Islande,Reykjavik,-19.020835,64.963051
Israël,Israël,ISR,,État d'Israël,,34.851612,31.046051
Italie,Italie,ITA,l',République italienne,Rome,12.56738,41.87194
Jamaïque,Jamaïque,JAM,la,Jamaïque,Kingston,-77.297508,18.109581
Japon,Japon,JPN,le,Japon,Tokyo,138.252924,36.204824
Jordanie,Jordanie,JOR,la,Royaume hachémite de Jordanie,Amman,36.238414,30.585164
Kazakhstan,Kazakhstan,KAZ,le,République du Kazakhstan,Nour-Soultan,66.923684,48.019573
Kénya,Kénya,KEN,le,République du Kénya,Nairobi,37.906193,-0.023559
Kirghizstan,Kirghizstan,KGZ,le,République kirghize,Bichkek,74.766098,41.20438
Kiribati,Kiribati,KIR,les,République des Kiribati,Bairiki,-168.734039,-3.370417
Kosovo,Kosovo,KOS,le,République du Kosovo,Pristina,20.902977,42.602636
Koweït,Koweït,KWT,le,État du Koweït,Koweït,47.481766,29.31166
Laos,Laos,LAO,le,République démocratique populaire lao,Vientiane,102.495496,19.85627
Lésotho,Lésotho,LSO,le,Royaume du Lesotho,Maséru,28.233608,-29.609988
Lettonie,Lettonie,LVA,la,République de Lettonie,Riga,24.603189,56.879635
Liban,Liban,LBN,le,République libanaise,Beyrouth,35.862285,33.854721
Libéria,Libéria,LBR,le,République du Libéria,Monrovia,-9.429499,6.428055
Libye,Libye,LBY,la,État de Libye,Tripoli,17.228331,26.3351
Liechtenstein,Liechtenstein,LIE,le,Principauté du Liechtenstein,Vaduz,9.555373,47.166
Lituanie,Lituanie,LTU,la,République de Lituanie,Vilnius,23.881275,55.169438
Luxembourg,Luxembourg,LUX,le,Grand-Duché de Luxembourg,Luxembourg,6.129583,49.815273
Macédoine du Nord,Macédoine du Nord,MKD,l',République de Macédoine du Nord,Skopje,21.745275,41.608635
Madagascar,Madagascar,MDG,,République de Madagascar,Antananarivo (Tananarive),46.869107,-18.766947
Malaisie,Malaisie,MYS,la,Malaisie,Kuala Lumpur,101.975766,4.210484
Malawi,Malawi,MWI,le,République du Malawi,Lilongwé,34.301525,-13.254308
Maldives,Maldives,MDV,les,République des Maldives,Malé,73.22068,3.202778
Mali,Mali,MLI,le,République du Mali,Bamako,-3.996166,17.570692
Malte,Malte,MLT,,République de Malte,La Valette,14.375416,35.937496
Maroc,Maroc,MAR,le,Royaume du Maroc,Rabat,-7.09262,31.791702
Îles Marshall,Marshall (Îles),MHL,les,République des Îles Marshall,Delap-Uliga-Darrit,171.184478,7.131474
Maurice,Maurice,MUS,,République de Maurice,Port-Louis,57.552152,-20.348404
Mauritanie,Mauritanie,MRT,la,République islamique de Mauritanie,Nouakchott,-10.940835,21.00789
Mexique,Mexique,MEX,le,États-Unis du Mexique,Mexico,-102.552784,23.634501
